4.210000000000000000e+03 4.210000000000000000e+03 5.836000000000000000e+03 1.089300000000000000e+04 1.324900000000000000e+04 2.128100000000000000e+04 4.210000000000000000e+03 4.210000000000000000e+03 4.210000000000000000e+03 4.210000000000000000e+03 4.210000000000000000e+03 4.210000000000000000e+03 4.210000000000000000e+03 4.210000000000000000e+03
3.210000000000000000e+02 3.210000000000000000e+02 5.901000000000000000e+03 6.200000000000000000e+03 1.198500000000000000e+04 2.411900000000000000e+04 3.210000000000000000e+02 3.210000000000000000e+02 3.210000000000000000e+02 3.210000000000000000e+02 3.210000000000000000e+02 3.210000000000000000e+02 3.210000000000000000e+02 3.210000000000000000e+02
1.250000000000000000e+03 1.250000000000000000e+03 6.953000000000000000e+03 7.282000000000000000e+03 1.449700000000000000e+04 1.493700000000000000e+04 1.250000000000000000e+03 1.250000000000000000e+03 1.250000000000000000e+03 1.250000000000000000e+03 1.250000000000000000e+03 1.250000000000000000e+03 1.250000000000000000e+03 1.250000000000000000e+03
4.574000000000000000e+03 4.574000000000000000e+03 6.408000000000000000e+03 1.207900000000000000e+04 1.421500000000000000e+04 2.500300000000000000e+04 4.574000000000000000e+03 4.574000000000000000e+03 4.574000000000000000e+03 4.574000000000000000e+03 4.574000000000000000e+03 4.574000000000000000e+03 4.574000000000000000e+03 4.574000000000000000e+03
4.947000000000000000e+03 4.947000000000000000e+03 7.492000000000000000e+03 1.217300000000000000e+04 1.421900000000000000e+04 2.515800000000000000e+04 4.947000000000000000e+03 4.947000000000000000e+03 4.947000000000000000e+03 4.947000000000000000e+03 4.947000000000000000e+03 4.947000000000000000e+03 4.947000000000000000e+03 4.947000000000000000e+03
4.471000000000000000e+03 4.471000000000000000e+03 6.703000000000000000e+03 1.174100000000000000e+04 1.400300000000000000e+04 2.602700000000000000e+04 4.471000000000000000e+03 4.471000000000000000e+03 4.471000000000000000e+03 4.471000000000000000e+03 4.471000000000000000e+03 4.471000000000000000e+03 4.471000000000000000e+03 4.471000000000000000e+03
5.470000000000000000e+03 5.470000000000000000e+03 7.499000000000000000e+03 1.298300000000000000e+04 1.494900000000000000e+04 2.609300000000000000e+04 5.470000000000000000e+03 5.470000000000000000e+03 5.470000000000000000e+03 5.470000000000000000e+03 5.470000000000000000e+03 5.470000000000000000e+03 5.470000000000000000e+03 5.470000000000000000e+03
4.232000000000000000e+03 4.232000000000000000e+03 6.492000000000000000e+03 1.135300000000000000e+04 1.329200000000000000e+04 2.535100000000000000e+04 4.232000000000000000e+03 4.232000000000000000e+03 4.232000000000000000e+03 4.232000000000000000e+03 4.232000000000000000e+03 4.232000000000000000e+03 4.232000000000000000e+03 4.232000000000000000e+03
4.096000000000000000e+03 4.096000000000000000e+03 7.033000000000000000e+03 1.200200000000000000e+04 1.444400000000000000e+04 2.565100000000000000e+04 4.096000000000000000e+03 4.096000000000000000e+03 4.096000000000000000e+03 4.096000000000000000e+03 4.096000000000000000e+03 4.096000000000000000e+03 4.096000000000000000e+03 4.096000000000000000e+03
5.333000000000000000e+03 5.333000000000000000e+03 7.156000000000000000e+03 1.168900000000000000e+04 1.427000000000000000e+04 2.520500000000000000e+04 5.333000000000000000e+03 5.333000000000000000e+03 5.333000000000000000e+03 5.333000000000000000e+03 5.333000000000000000e+03 5.333000000000000000e+03 5.333000000000000000e+03 5.333000000000000000e+03
