0 3314 5100 8710 10256 19465 21166 31271 32837 36646 37898 42691
0 3106 5297 9160 10955 18487 19803 28117 29410 32606 33993 37795
0 4601 5673 9194 11609 19616 21158 29546 31159 34924 35660 39895
0 3265 5348 9289 11173 19383 20201 28675 30150 32941 34804 39284
0 3710 4950 9047 10672 18223 19559 27292 28735 31786 33297 37157
0 3765 5093 8459 9874 14415 19790 19899 27997 31504 33174 37023
0 3939 5552 9888 11542 20231 20970 29532 31669 35161 37189 42781
0 3732 5356 8776 10774 18319 19607 27180 29074 32408 34017 37671
0 3058 5544 9134 11188 19149 20362 28701 30608 33726 35571 40626
0 3509 5226 8524 10463 16716 17718 24265 25617 28548 30444 34826
0 3068 4839 8119 10001 18397 19562 27305 28833 32344 33880 37430
0 3557 5001 8278 10090 17640 18838 27097 28172 31187 33050 36856
0 2972 4407 7679 8919 16256 16954 25899 27119 30141 31560 34740
0 3465 4713 7965 9642 17698 18808 27044 27493 30767 32205 36190
0 3678 5377 9485 10904 19887 21028 29753 31518 34960 37078 41540

